"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid"
"Is this available in Germany?","0","1","2023-10-22T14:06:59.000Z","schmittok","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6771699560005698566","7292783968457638699"
"Yes!","1",,"2023-10-22T14:29:04.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292789688074404651"
"It’s available in portugal! Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","1",,"2023-10-22T20:54:50.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889134548124462"
"Enter your email on the form on our website (momentapp.info) to stay updated and follow our page for android version launch!","0",,"2023-10-22T23:27:16.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292928430113768235"
"Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","0",,"2023-10-22T20:55:15.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889186996110126"
"Enter your email on the form on our website (momentapp.info) to stay updated and follow our page for android version launch!","1",,"2023-10-22T23:27:21.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292928454973211435"
"It is! Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","1",,"2023-10-22T20:55:23.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889230405419818"
"It is! Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","0",,"2023-10-22T20:55:27.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889280271352619"
"Enter your email on the form on our website (momentapp.info) to stay updated and follow our page for android version launch!","0",,"2023-10-22T23:27:30.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292928477010658094"
"This rly looks like a spam comment","0",,"2023-10-22T23:40:56.000Z","kaktusinfamous","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6828187077811094534","7292931947431625478"
"Enter your email on the form on our website (momentapp.info) to stay updated and follow our page for android version launch!","0",,"2023-10-22T23:27:34.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292928461928514346"
"It is available in Argentina! Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","1",,"2023-10-22T20:55:45.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889375418024750"
"💗💗💗","0",,"2023-10-23T02:21:00.000Z","candeooc","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6647068713390522373","7292973188085859078"
"It is! Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","0",,"2023-10-22T20:55:50.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889375418712878"
"Cries in LATAM","0","1","2023-10-22T13:57:51.000Z","another.tt.person","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6789434597764662278","7292781704166851333"
"do people follow each other","0","0","2023-10-22T13:51:00.000Z","littlemissdove_","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7243079993071600646","7292779918072759045"
"Just downloaded in the UK","1","0","2023-10-22T13:42:33.000Z","bonniprice","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6745128755800998917","7292777729903231776"
"Downloaded","1","0","2023-10-22T13:36:14.000Z","princesatee_","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7007106801918755845","7292776061351314208"
"love it","1","0","2023-10-22T13:23:37.000Z","blackvixeencass","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7192310908004107270","7292772894308713222"
"somebody pin the name I'm looking for it in playstore","0","3","2023-10-22T13:02:27.000Z","hi_itismeagain","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7159771072857129990","7292767429665981190"
"Only available in App Store rn!","0",,"2023-10-22T13:20:21.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292771891626033963"
"cause I waaaantt😩","1","0","2023-10-22T13:00:40.000Z","hi_itismeagain","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7159771072857129990","7292766944758874885"
"It is not available in Latam 😭 🇦🇷","0","1","2023-10-22T12:59:30.000Z","maaarr_","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6696958585657132037","7292766640663741189"
